with
"tensor(53, device='cuda:0')"
"tensor(63, device='cuda:0')"
"tensor(72, device='cuda:0')"
"tensor(76, device='cuda:0')"
"tensor(79, device='cuda:0')"
"tensor(80, device='cuda:0')"
"tensor(82, device='cuda:0')"
"tensor(82, device='cuda:0')"
"tensor(84, device='cuda:0')"
"tensor(85, device='cuda:0')"
"tensor(86, device='cuda:0')"
"tensor(85, device='cuda:0')"
"tensor(86, device='cuda:0')"
"tensor(86, device='cuda:0')"
"tensor(87, device='cuda:0')"
"tensor(88, device='cuda:0')"
"tensor(88, device='cuda:0')"
"tensor(87, device='cuda:0')"
"tensor(88, device='cuda:0')"
"tensor(87, device='cuda:0')"
"tensor(88, device='cuda:0')"
"tensor(89, device='cuda:0')"
"tensor(87, device='cuda:0')"
"tensor(88, device='cuda:0')"
"tensor(88, device='cuda:0')"
"tensor(87, device='cuda:0')"
"tensor(89, device='cuda:0')"
"tensor(89, device='cuda:0')"
"tensor(89, device='cuda:0')"
"tensor(89, device='cuda:0')"
"tensor(89, device='cuda:0')"
"tensor(88, device='cuda:0')"
"tensor(89, device='cuda:0')"
"tensor(89, device='cuda:0')"
"tensor(89, device='cuda:0')"
"tensor(89, device='cuda:0')"
"tensor(89, device='cuda:0')"
"tensor(89, device='cuda:0')"
"tensor(88, device='cuda:0')"
"tensor(88, device='cuda:0')"
"tensor(89, device='cuda:0')"
"tensor(89, device='cuda:0')"
"tensor(89, device='cuda:0')"
"tensor(90, device='cuda:0')"
"tensor(89, device='cuda:0')"
"tensor(90, device='cuda:0')"
"tensor(88, device='cuda:0')"
"tensor(89, device='cuda:0')"
"tensor(89, device='cuda:0')"
"tensor(90, device='cuda:0')"
